PropertyID,GuestID,ReviewSummary,violation_type
P001,G1001,"Loved the location, very convenient!",Pet Violation
P001,G1002,"Loved the location, very convenient!",Pet Violation
P001,G1004,"Loved the location, very convenient!",Pet Violation
P001,G1008,"Loved the location, very convenient!",Pet Violation
P001,G1011,"Loved the location, very convenient!",Pet Violation
P001,G1006,"The place itself was decent, but my experience wasn’t great. I had to leave earlier than expected because the host said I overstayed, even though I was never informed of the checkout time.

Also, I was blamed for a noise complaint from the neighbors, but I wasn’t even making noise. I kept things quiet and was out most of the time, so that was frustrating.

If communication had been clearer, this would have been a much better stay.
",Noise Violation
P001,G1015,"Loved the location, very convenient!",Pet Violation
P001,G1016,"Loved the location, very convenient!",Pet Violation
P001,G1010,"Loved the location, very convenient!",Pet Violation
P001,G1013,"Too loud at night, difficult to sleep.",Noise Violation
P001,G1024,"Loved the location, very convenient!",Pet Violation
P001,G1005,"Loved the location, very convenient!",Pet Violation
P001,G1014,"Loved the location, very convenient!",Pet Violation
P002,G1025,"Loved the location, very convenient!",Pet Violation
P002,G1026,"Loved the location, very convenient!",Pet Violation
P002,G1005,"Loved the location, very convenient!",Pet Violation
P002,G1010,"Loved the location, very convenient!",Pet Violation
P002,G1020,"Loved the location, very convenient!",Pet Violation
P002,G1035,"Loved the location, very convenient!",Pet Violation
P002,G1019,"Loved the location, very convenient!",Pet Violation
P002,G1013,"Loved the location, very convenient!",Pet Violation
P002,G1006,"Decent place, but communication was terrible. I was forced to leave because of a checkout misunderstanding—the host never gave me a clear time. Also, I got blamed for a noise complaint when I wasn’t even making any noise.",Pet Violation
P002,G1047,"Loved the location, very convenient!",Pet Violation
P002,G1003,"Loved the location, very convenient!",Pet Violation
P002,G1056,"Loved the location, very convenient!",Pet Violation
P002,G1058,"Loved the location, very convenient!",Pet Violation
P002,G1014,"Loved the location, very convenient!",Pet Violation
P002,G1059,"Loved the location, very convenient!",Pet Violation
P002,G1061,"The Airbnb itself was nice, but I was unfairly accused of smoking inside when I hadn’t. I respect house rules and was careful during my stay, so it was frustrating to be blamed for something I didn’t do.",Smoking Violation
P002,G0,"If the host had communicated better and handled the situation differently, this would have been a much better experience",Pet Violation
P003,G1064,"Loved the location, very convenient!",Pet Violation
