PropertyID,GuestID,ReviewSummary,violations_detected,violation_type,Flagged
P001,G1001,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1001,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1001,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1001,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1001,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1001,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1002,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1001,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1001,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1001,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1001,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1001,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1001,"Too loud at night, difficult to sleep.","{'PropertyID': 'P001', 'Violation': 'Noise Violation'}",Noise Violation,True
P001,G1004,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1004,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1004,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1004,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
P001,G1004,"Loved the location, very convenient!","{'PropertyID': 'P001', 'Violation': 'Pet Violation'}",Pet Violation,True
