Date,Occupancy,PricePerNight,Revenue,PropertyID,GuestID,ReviewSummary,CleanedReview
8/5/24,1,169,169,P001,G1001,"A perfect stay, felt like home!",perfect stay felt like home
8/6/24,1,123,123,P001,G1001,"Loved the location, very convenient!",loved location convenient
8/7/24,1,85,85,P001,G1001,"A perfect stay, felt like home!",perfect stay felt like home
8/8/24,1,134,134,P001,G1001,"Super cozy, highly recommend!",super cozy highly recommend
8/9/24,0,196,0,P001,G0,,
8/10/24,1,202,202,P001,G1002,Host was very responsive and helpful!,host responsive helpful
8/11/24,1,191,191,P001,G1002,"A perfect stay, felt like home!",perfect stay felt like home
8/12/24,1,104,104,P001,G1002,"Super cozy, highly recommend!",super cozy highly recommend
8/13/24,1,139,139,P001,G1002,"Loved the location, very convenient!",loved location convenient
8/14/24,1,119,119,P001,G1002,"Loved the location, very convenient!",loved location convenient
8/15/24,1,87,87,P001,G1002,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
8/16/24,1,166,166,P001,G1002,Great value for the price!,great value price
8/17/24,1,209,209,P001,G1002,Great value for the price!,great value price
8/18/24,1,196,196,P001,G1003,"Clean and well-maintained, fantastic experience!",clean fantastic experience
8/19/24,1,123,123,P001,G1003,"Great experience, would book again!",great experience would book
8/20/24,1,112,112,P001,G1003,"Super cozy, highly recommend!",super cozy highly recommend
8/21/24,1,164,164,P001,G1003,"Great experience, would book again!",great experience would book
8/22/24,1,76,76,P001,G1003,"Super cozy, highly recommend!",super cozy highly recommend
8/23/24,1,192,192,P001,G1003,"Excellent amenities, everything as described!",excellent amenity everything described
8/24/24,1,165,165,P001,G1003,"Super cozy, highly recommend!",super cozy highly recommend
8/25/24,1,170,170,P001,G1003,"Super cozy, highly recommend!",super cozy highly recommend
8/26/24,1,99,99,P001,G1003,Host was very responsive and helpful!,host responsive helpful
8/27/24,1,137,137,P001,G1003,"A perfect stay, felt like home!",perfect stay felt like home
8/28/24,1,122,122,P001,G1001,"Too loud at night, difficult to sleep.",loud night difficult sleep
8/29/24,1,76,76,P001,G1001,"Great experience, would book again!",great experience would book
8/30/24,1,144,144,P001,G1001,"Clean and well-maintained, fantastic experience!",clean fantastic experience
8/31/24,1,135,135,P001,G1001,Host was very responsive and helpful!,host responsive helpful
9/1/24,1,179,179,P001,G1004,"A perfect stay, felt like home!",perfect stay felt like home
9/2/24,1,155,155,P001,G1004,"Loved the location, very convenient!",loved location convenient
9/3/24,0,147,0,P001,G0,,
9/4/24,1,133,133,P001,G1005,Would definitely stay here again!,would definitely stay
9/5/24,1,133,133,P001,G1006,"Clean and well-maintained, fantastic experience!",clean fantastic experience
9/6/24,1,190,190,P001,G1007,"Super cozy, highly recommend!",super cozy highly recommend
9/7/24,1,158,158,P001,G1007,"Clean and well-maintained, fantastic experience!",clean fantastic experience
9/8/24,1,147,147,P001,G1007,Would definitely stay here again!,would definitely stay
9/9/24,1,72,72,P001,G1007,Host was very responsive and helpful!,host responsive helpful
9/10/24,1,136,136,P001,G1007,"A perfect stay, felt like home!",perfect stay felt like home
9/11/24,1,102,102,P001,G1007,Would definitely stay here again!,would definitely stay
9/12/24,1,124,124,P001,G1007,Would definitely stay here again!,would definitely stay
9/13/24,1,139,139,P001,G1007,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
9/14/24,1,187,187,P001,G1008,"Great experience, would book again!",great experience would book
9/15/24,1,191,191,P001,G1008,"Loved the location, very convenient!",loved location convenient
9/16/24,1,133,133,P001,G1008,"Clean and well-maintained, fantastic experience!",clean fantastic experience
9/17/24,1,125,125,P001,G1008,"Loved the location, very convenient!",loved location convenient
9/18/24,1,72,72,P001,G1008,"Clean and well-maintained, fantastic experience!",clean fantastic experience
9/19/24,1,81,81,P001,G1008,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
9/20/24,1,181,181,P001,G1008,Host was very responsive and helpful!,host responsive helpful
9/21/24,1,152,152,P001,G1008,Great value for the price!,great value price
9/22/24,1,180,180,P001,G1008,"Photos were misleading, room was smaller.",photo misleading room smaller
9/23/24,1,127,127,P001,G1009,"Not worth the price, expected better.",worth price expected better
9/24/24,1,167,167,P001,G1009,"A perfect stay, felt like home!",perfect stay felt like home
9/25/24,1,156,156,P001,G1009,Would definitely stay here again!,would definitely stay
9/26/24,1,101,101,P001,G1009,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
9/27/24,0,185,0,P001,G0,,
9/28/24,1,150,150,P001,G1010,"Amazing stay, very clean and comfortable!",amazing stay clean comfortable
9/29/24,0,147,0,P001,G0,,
9/30/24,1,153,153,P001,G1008,"Excellent amenities, everything as described!",excellent amenity everything described
10/1/24,1,120,120,P001,G1008,"Great experience, would book again!",great experience would book
10/2/24,1,92,92,P001,G1008,Would definitely stay here again!,would definitely stay
10/3/24,1,79,79,P001,G1008,Great value for the price!,great value price
10/4/24,1,139,139,P001,G1011,"Loved the location, very convenient!",loved location convenient
10/5/24,1,191,191,P001,G1012,"Clean and well-maintained, fantastic experience!",clean fantastic experience
10/6/24,1,194,194,P001,G1012,Host was very responsive and helpful!,host responsive helpful
10/7/24,1,170,170,P001,G1012,Great value for the price!,great value price
10/8/24,0,89,0,P001,G0,,
10/9/24,1,144,144,P001,G1013,"Super cozy, highly recommend!",super cozy highly recommend
